KO	X103post	X103pre	X104post	X104pre	X107post	X107pre	X109post	X109pre	X111post	X111pre	X116post	X116pre	X118post	X118pre	X119post	X119pre	X123post	X123pre	X124post	X124pre	X127post	X127pre	X130post	X130pre	X133post	X133pre	X138post	X138pre	X139post	X139pre	X140post	X140pre
K07733	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	6	0	0	0	0	1	0
K07735	4	1	21	16	13	8	6	3	3	2	1	9	9	11	6	5	4	0	0	0	23	20	7	8	1	3	5	2	4	4	10	10
K07736	12	0	14	6	7	6	7	3	5	4	2	4	7	4	3	2	2	4	4	1	5	5	4	5	2	6	4	2	5	1	6	7
K07738	16	1	19	8	9	8	9	4	7	6	6	5	8	9	4	5	4	6	5	2	6	17	5	6	6	11	5	2	6	2	8	9
K07739	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0
K07740	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K07741	10	1	17	7	3	5	8	4	10	8	2	5	10	4	1	1	5	6	3	0	4	8	5	10	4	5	6	3	3	4	7	9
K07742	11	0	16	7	9	7	8	3	7	5	4	4	8	3	4	2	3	2	5	2	6	15	5	6	5	4	5	2	6	2	8	9
K07744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K07746	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1
K07749	3	0	7	3	10	4	7	2	3	3	2	0	2	0	0	0	1	1	1	0	5	16	2	3	6	9	3	1	2	2	7	5
K07751	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K07755	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07757	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	3	0	0	0	5	0	0	0	0	0	0
K07768	15	1	33	13	12	12	13	5	8	7	2	10	13	9	9	4	6	6	4	2	17	33	10	10	6	15	11	5	5	5	13	15
K07769	1	0	5	4	7	3	2	0	1	1	1	2	2	3	2	1	3	0	0	0	7	14	3	3	0	0	2	1	1	1	3	3
K07770	13	0	15	9	9	10	9	5	5	6	2	6	13	6	6	4	5	5	5	1	8	17	5	3	1	3	7	3	3	2	8	12
K07771	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	2	3	0	0	0	0	2	0
K07772	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	1	6	0	0	0	0	0	0
K07773	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	3	0	0	1	0	0	0
K07774	29	2	40	19	23	20	40	18	18	16	10	14	27	7	13	7	12	5	9	2	18	36	13	16	12	9	21	9	13	9	28	31
K07775	35	2	62	32	33	29	33	15	24	21	10	24	37	19	17	12	19	14	13	6	30	57	22	28	12	11	22	10	19	9	33	36
K07776	25	1	40	19	18	12	17	7	18	11	7	10	16	11	7	6	5	6	8	4	11	38	11	18	6	8	8	3	19	5	15	17
K07777	5	0	5	2	4	1	2	0	2	0	0	0	1	1	0	0	0	0	1	0	2	10	2	3	1	4	0	0	4	1	1	1
K07778	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0
K07781	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
K07782	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
K07783	0	0	4	5	4	3	5	5	2	5	0	5	9	2	6	3	12	0	0	0	3	6	4	7	0	3	4	3	2	1	6	6
K07784	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K07786	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K07787	1	0	13	11	7	5	13	7	3	2	0	7	12	4	5	2	2	0	0	0	13	13	5	8	0	3	5	2	2	3	6	6
K07788	2	0	13	11	7	5	10	5	3	2	0	6	9	5	5	2	2	0	0	0	13	14	4	6	0	5	4	2	2	2	6	6
K07789	10	1	16	16	9	6	14	8	4	6	4	9	17	21	7	10	12	0	1	1	14	16	7	11	2	7	7	4	3	3	8	10
K07791	1	0	14	9	7	5	6	3	3	2	0	12	7	4	4	2	2	0	0	1	12	12	5	6	0	3	4	2	2	3	10	5
K07792	1	0	14	10	8	5	6	3	3	2	0	11	7	4	4	2	2	0	0	1	13	14	5	6	0	5	4	2	3	3	10	5
K07793	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	3	1
K07795	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
K07796	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K07797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K07798	0	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K07799	4	0	13	10	7	5	3	1	2	2	1	6	2	8	5	4	5	0	1	1	12	11	4	4	1	3	3	2	2	2	6	6
K07800	3	0	7	3	2	1	1	0	5	2	2	2	2	0	1	0	0	2	1	0	1	9	1	3	3	1	0	0	4	1	1	1
K07803	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K07804	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	7	0	0	0	0	0	0
K07806	3	0	9	8	7	4	10	3	3	1	0	3	2	2	2	1	1	4	0	0	8	9	3	4	1	3	2	1	5	2	3	4
K07810	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K07811	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	8	0	0	1	0	1	0
K07812	1	0	1	2	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	6	0	0	0	10	0	0	1	1	1	0
K07813	19	0	29	14	14	10	9	3	16	8	4	7	11	3	5	2	2	8	6	1	8	16	8	15	6	5	3	1	20	4	10	11
K07814	54	3	141	85	111	63	60	23	45	25	14	46	72	38	39	21	23	19	15	6	105	118	50	66	24	25	39	16	49	22	69	68
K07816	9	0	18	7	23	8	12	2	8	3	8	2	6	2	1	0	1	7	3	2	7	16	6	10	16	14	3	0	10	2	9	8
K07821	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K07823	8	0	8	6	3	5	5	3	3	4	0	3	6	3	3	2	3	0	3	0	4	6	3	1	0	3	5	2	2	1	5	7
K07862	10	0	15	6	5	7	7	3	4	5	3	4	6	4	4	2	3	2	4	3	5	23	5	3	5	11	5	2	3	2	7	8
K07979	25	1	33	15	26	15	19	5	15	7	8	5	13	5	5	2	4	13	6	1	13	55	12	17	14	16	8	3	22	5	16	17
K07991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08068	0	0	1	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K08082	0	0	2	2	1	1	5	2	1	1	0	1	1	0	1	1	2	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1
K08083	3	0	4	2	6	2	3	0	2	1	1	3	1	1	1	1	2	1	1	1	2	2	3	4	1	1	1	0	4	1	4	3
K08084	0	0	5	2	0	0	0	0	3	2	0	2	1	0	1	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0
K08086	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
K08093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08094	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
K08096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08097	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08137	2	0	1	5	1	1	8	4	1	2	0	3	3	2	4	2	5	0	0	0	2	6	1	2	0	5	2	1	1	0	2	3
K08138	3	0	27	21	16	11	27	11	6	5	0	17	17	9	11	5	11	0	0	0	25	23	9	13	0	2	10	5	5	5	15	15
K08139	2	0	1	1	0	0	7	2	1	1	0	2	1	2	1	1	3	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1
K08151	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
K08152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08153	0	0	1	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	1	0
K08154	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	5	0	0	0	0	0	0
K08156	3	0	14	9	7	5	3	2	3	2	0	6	8	5	5	2	4	0	0	0	12	12	5	6	1	7	4	2	2	2	7	6
K08159	0	0	1	1	1	1	1	0	0	0	3	1	0	0	0	0	0	1	0	0	0	2	0	0	3	4	0	0	1	0	1	0
K08160	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	5	0	0	0	0	0	0
K08161	0	0	3	3	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	2	1	2	1	1	1	3	0	0	0	0	1	0
K08162	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K08163	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K08164	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08166	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
K08167	2	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	6	0	0	0	0	0	0
K08168	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0
K08169	1	0	17	15	10	7	6	4	3	3	0	7	8	5	6	3	5	0	0	0	18	19	6	7	0	5	5	3	3	4	8	8
K08170	0	0	3	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
K08172	3	0	3	3	1	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	1	5	0	0	1	10	0	0	1	1	0	1
K08173	3	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	1	8	0	0	0	0	0	1
K08177	7	0	12	5	3	4	4	2	2	2	2	5	6	4	3	2	1	1	3	2	3	4	3	2	4	13	3	1	1	0	5	3
K08178	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K08191	1	0	12	12	7	5	6	3	3	2	0	6	8	4	5	2	4	0	0	0	13	13	4	6	0	5	4	2	2	2	6	6
K08194	0	0	1	5	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	4	0	0	0	5	0	0	0	0	0	0
K08195	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0
K08217	7	0	6	2	4	2	6	2	3	3	3	3	2	6	3	4	4	0	0	0	2	3	1	2	1	1	3	2	1	1	4	3
K08218	1	1	30	22	18	11	15	7	6	4	0	14	16	9	10	4	7	0	0	0	30	27	11	13	0	5	9	4	5	6	14	14
K08219	3	0	0	1	0	0	0	0	0	1	1	0	0	5	0	2	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0
K08222	0	0	1	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
K08223	1	0	5	3	2	1	7	3	1	2	0	2	5	2	1	0	1	0	1	2	1	3	2	4	1	3	1	1	0	0	1	1
K08224	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K08225	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K08227	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0
K08234	5	0	5	2	2	1	2	0	3	0	3	0	1	0	0	0	0	2	1	0	2	3	1	3	3	4	0	0	7	1	2	2
K08255	4	0	20	12	13	7	7	3	4	2	4	7	11	5	5	2	3	3	0	0	18	23	7	10	5	3	5	2	7	4	10	9
K08260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08276	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K08277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K08279	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	4	0	0	0	0	0	0
K08280	0	0	3	0	0	0	0	0	1	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0
K08281	2	0	4	1	1	1	1	0	0	1	0	1	0	2	0	0	0	0	0	1	1	2	1	1	2	7	0	0	0	0	1	0
K08282	16	1	16	9	11	9	13	6	5	6	6	8	12	16	5	8	6	1	4	1	11	28	7	7	3	7	7	3	3	3	10	12
K08289	3	0	20	13	11	7	6	4	3	3	0	7	10	6	6	3	5	0	0	0	18	16	7	9	1	7	5	3	3	4	8	8
K08295	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K08296	2	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	6	0	0	0	0	0	0
K08297	0	0	1	1	3	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	4	0	1	0	5	0	0	0	0	1	0
K08298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K08299	0	0	1	2	4	2	2	1	1	0	0	0	1	0	0	0	0	4	0	0	2	4	1	1	1	5	0	0	0	0	1	0
K08300	8	0	9	3	3	1	7	3	1	2	3	3	6	9	1	3	2	1	2	2	2	3	2	4	4	13	2	1	1	1	2	2
K08301	11	0	23	12	14	7	9	4	5	4	3	8	9	11	5	5	6	2	2	2	15	22	7	10	5	13	5	2	7	3	10	8
K08302	0	0	4	0	3	1	3	0	1	1	2	0	0	1	0	0	0	1	1	1	2	13	2	2	2	10	1	0	1	0	1	0
K08303	32	2	64	37	35	28	28	13	20	17	11	23	32	26	18	14	18	12	9	4	42	60	21	25	12	22	19	9	18	10	31	33
K08304	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	3	0	0	0	0	1	0
K08305	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	1	0
K08306	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K08307	11	1	57	37	38	21	22	9	16	10	5	24	28	19	18	10	15	3	1	0	50	43	20	27	6	6	16	8	16	10	29	25
K08308	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K08309	12	1	23	13	11	9	8	4	9	7	2	8	9	5	8	4	6	1	5	3	12	30	8	8	0	4	7	3	7	3	11	12
K08310	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	3	0	0	0	0	0	0
K08311	5	0	4	3	0	0	0	0	0	1	1	2	0	6	1	2	1	0	0	0	0	2	0	0	2	7	0	0	1	0	1	1
K08312	3	0	1	1	0	0	0	0	0	1	1	0	0	5	0	2	1	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0
K08313	0	0	1	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	3	0	0	3	7	0	0	1	0	0	0
K08314	0	0	1	1	2	1	1	0	0	0	2	0	1	0	0	0	0	1	0	0	1	11	1	0	3	7	0	0	1	0	1	0
K08315	3	0	0	1	0	0	0	0	0	1	3	0	0	5	0	3	1	0	0	0	0	2	0	0	1	4	0	0	1	0	0	0
K08316	17	1	28	16	16	13	10	5	9	7	6	9	11	13	7	6	8	6	5	2	18	27	9	10	6	11	8	3	8	4	14	16
K08317	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0
K08318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
K08319	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
K08320	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K08321	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
K08322	3	0	2	3	1	0	2	1	1	1	0	0	4	0	0	0	0	0	0	0	1	2	1	4	0	2	0	0	4	1	1	1
K08323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0
K08324	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K08325	6	0	31	20	18	14	12	6	6	5	2	13	19	10	12	6	8	6	3	1	27	23	11	13	5	8	10	5	6	5	15	13
K08326	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	3	0	0	0	0	0	0
K08344	3	0	0	1	0	0	0	0	0	0	1	1	0	5	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
K08348	0	0	1	4	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	7	0	0	0	10	0	0	1	1	0	0
K08349	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	5	0	0	0	0	0	0
K08350	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	5	0	0	0	0	0	0
K08351	0	0	1	2	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	7	0	0	1	10	0	0	1	1	1	0
K08352	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0
K08353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K08354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K08357	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K08358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0
K08363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K08364	0	0	4	2	1	1	6	3	2	2	0	3	6	2	3	2	3	0	0	0	1	2	1	3	0	0	3	2	1	0	3	2
K08365	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	2	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1
K08368	3	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	3	0	0	1	7	0	0	0	0	1	0
K08369	2	0	2	2	1	1	1	0	0	1	0	1	0	2	1	1	2	0	0	0	1	4	1	2	1	8	1	0	0	0	1	1
K08372	16	1	29	14	14	11	15	7	10	9	5	10	16	11	9	7	10	6	5	3	13	13	8	12	5	8	9	5	8	3	13	14
K08384	22	1	28	13	17	16	16	6	12	9	5	7	15	6	7	4	6	11	8	3	11	22	9	10	7	8	10	4	12	4	15	18
K08475	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08476	0	0	4	4	3	2	0	0	0	0	0	5	1	1	1	0	1	0	0	0	6	4	2	1	0	0	1	0	1	1	5	2
K08478	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08479	13	1	27	14	15	13	15	7	9	7	0	9	10	5	7	4	6	1	4	1	19	20	8	7	1	4	12	5	5	5	15	18
K08482	1	0	12	8	7	4	6	3	2	1	0	5	7	3	4	2	2	0	0	0	12	10	4	5	0	0	4	2	2	2	6	5
K08483	36	1	42	20	20	21	20	9	15	17	12	13	21	23	14	13	14	16	11	5	18	47	13	13	11	45	13	6	13	5	19	24
K08484	4	0	7	4	1	3	3	1	4	4	0	3	1	1	2	1	4	0	2	1	3	8	2	2	0	8	3	1	2	2	4	5
K08485	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K08591	17	1	19	10	13	10	10	4	9	7	6	5	9	8	5	5	6	6	5	2	8	11	7	9	6	7	5	2	10	3	10	12
K08600	7	0	17	8	16	8	9	2	11	6	8	3	5	0	1	0	2	12	2	1	6	13	4	9	10	6	3	1	7	2	7	8
K08602	6	0	10	4	6	3	5	2	6	3	4	3	2	0	1	0	1	2	2	0	3	13	3	5	4	2	2	1	5	2	6	5
K08640	8	0	8	4	3	5	5	3	3	3	0	3	6	3	3	2	3	0	3	0	4	5	3	1	0	2	5	2	2	1	5	7
K08641	3	0	12	8	7	5	6	3	3	3	1	6	8	9	5	5	6	0	1	0	12	11	5	6	1	3	4	2	2	2	7	6
K08652	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08659	13	0	14	5	6	6	8	3	4	4	3	4	7	5	3	2	3	1	4	1	5	6	3	4	3	10	5	2	2	2	7	8
K08676	2	1	53	33	28	18	16	6	10	5	0	22	20	13	16	7	7	0	0	0	51	40	16	18	0	0	14	6	8	9	24	20
K08678	7	1	18	12	10	7	6	3	4	4	3	8	8	14	6	8	9	0	1	1	18	14	7	8	1	1	5	3	3	3	8	9
K08679	6	0	17	11	5	8	15	8	6	5	0	8	15	7	8	4	4	8	4	3	9	9	6	7	0	2	6	3	2	1	5	7
K08680	3	0	1	1	0	0	0	0	0	1	1	0	0	5	0	2	1	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0
K08681	6	0	7	2	2	1	2	0	2	1	3	0	1	2	1	0	0	2	1	1	1	1	2	3	5	6	1	0	5	1	2	2
K08682	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K08692	3	0	2	3	0	0	6	3	1	2	1	2	5	6	0	3	2	0	0	1	1	1	1	3	1	1	1	1	0	0	1	1
K08693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
K08696	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K08700	0	0	0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	2	0	0	3	5	0	0	1	0	1	0
K08717	0	0	3	0	1	1	0	0	1	1	0	3	1	0	3	1	3	0	0	0	0	0	0	1	0	0	1	1	0	0	3	1
K08720	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K08722	5	0	10	6	3	4	3	2	3	3	0	4	6	3	4	2	1	1	2	1	3	4	3	2	1	4	2	1	1	0	3	4
K08723	5	0	5	4	2	4	2	2	1	2	0	2	6	3	3	2	1	0	2	0	3	3	2	1	0	4	2	1	1	0	2	3
K08724	3	0	4	2	5	2	2	0	2	1	2	0	1	0	0	0	0	1	1	1	1	2	1	3	3	1	0	0	4	1	2	1
K08744	8	0	6	3	6	2	3	1	2	1	6	1	2	7	0	3	1	2	1	0	2	3	1	4	5	9	0	0	5	1	3	2
K08884	10	0	12	5	6	2	5	1	7	1	2	1	4	0	1	0	0	2	3	1	3	4	3	8	3	4	0	0	14	2	4	4
K08961	0	0	2	2	2	1	4	4	1	1	0	2	11	2	1	0	2	0	0	0	1	2	2	5	0	0	2	1	0	1	2	2
K08963	1	0	2	2	4	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	2	1	1	1	1	0	0	0	0	1	1
K08964	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08967	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08968	1	0	12	9	7	5	6	3	3	2	1	5	7	4	4	2	2	0	0	0	12	11	4	6	1	3	4	2	2	2	6	5
K08969	0	0	4	3	1	1	3	2	1	1	5	0	5	1	1	0	0	2	0	0	1	3	1	3	5	8	1	0	1	1	1	1
K08970	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
K08971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08972	3	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
K08974	0	0	4	3	7	2	3	1	3	2	0	2	2	1	1	1	3	1	1	1	2	11	2	4	1	1	1	1	0	0	2	1
K08978	8	0	14	6	7	6	8	3	6	4	2	5	8	3	5	3	2	5	3	1	4	4	3	4	3	3	3	2	5	1	5	5
