KO	X103post	X103pre	X104post	X104pre	X107post	X107pre	X109post	X109pre	X111post	X111pre	X116post	X116pre	X118post	X118pre	X119post	X119pre	X123post	X123pre	X124post	X124pre	X127post	X127pre	X130post	X130pre	X133post	X133pre	X138post	X138pre	X139post	X139pre	X140post	X140pre
K02777	19	1	31	14	16	16	16	7	13	10	13	8	15	6	7	5	6	13	8	2	13	48	11	11	11	14	11	4	9	4	15	17
K02778	6	0	10	6	5	4	5	2	6	3	2	1	2	0	1	0	2	6	2	1	4	40	4	4	4	6	3	1	5	3	4	5
K02779	6	0	10	5	4	4	5	2	5	3	2	1	2	0	1	0	2	6	2	1	4	39	4	4	4	6	3	1	5	3	4	5
K02781	0	0	2	2	3	1	2	1	1	0	2	0	1	0	0	0	0	2	0	0	1	2	1	1	4	6	1	0	1	0	1	0
K02782	0	0	1	2	2	1	1	0	0	0	2	0	1	0	0	0	0	1	0	0	1	2	0	0	3	5	0	0	1	0	1	0
K02783	0	0	2	3	4	2	2	1	1	0	4	0	1	0	1	0	0	3	0	0	2	4	1	1	6	9	1	0	1	0	1	1
K02784	0	0	4	3	4	1	1	1	3	2	1	1	1	0	1	1	2	0	0	0	1	4	1	3	1	3	0	0	0	0	2	1
K02786	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02787	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K02788	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K02790	23	1	29	16	15	15	17	8	12	10	7	7	14	6	7	5	6	7	7	2	13	44	11	10	5	13	11	4	13	5	15	19
K02791	23	1	29	16	15	15	17	8	12	10	7	7	14	6	7	5	6	7	7	2	13	44	11	10	5	13	11	4	13	5	15	19
K02793	4	0	8	2	7	4	7	2	3	2	8	0	1	1	0	0	1	4	1	0	4	8	4	4	8	9	4	1	3	2	5	4
K02794	5	0	8	3	6	4	7	2	3	2	10	1	1	1	0	1	1	4	1	0	4	9	4	4	7	10	4	1	3	2	5	4
K02795	5	0	6	3	5	3	6	2	3	2	10	1	1	1	0	1	1	3	1	0	4	16	3	3	6	8	3	1	3	2	4	4
K02796	3	0	5	2	5	3	5	1	2	1	10	0	1	1	0	1	1	3	1	0	3	7	3	3	6	11	3	0	3	1	3	3
K02798	10	0	14	7	10	10	9	4	4	5	1	6	12	7	8	5	7	3	4	2	8	8	7	5	5	16	8	3	2	0	8	8
K02799	10	0	14	8	10	10	9	4	4	5	1	6	12	7	9	5	7	3	4	2	8	10	7	5	5	19	8	3	2	0	8	8
K02800	10	0	14	8	9	10	8	4	4	5	1	6	12	7	9	5	7	3	4	2	8	10	7	5	5	18	7	3	2	0	8	8
K02802	19	0	20	12	12	12	12	6	8	6	7	6	14	6	7	5	4	7	6	2	10	31	8	8	5	14	8	3	11	3	11	13
